"WeekCountry";"FstDose";"SecDose"
"Croatia2022-28";368.0;319.0
"Croatia2022-29";343.0;249.0
"Croatia2022-30";281.0;291.0
"Croatia2022-31";313.0;178.0
"Croatia2022-32";388.0;241.0
"Croatia2022-33";270.0;201.0
"Croatia2022-34";322.0;290.0
"Croatia2022-35";303.0;290.0
"Croatia2022-36";323.0;209.0
"Croatia2022-37";326.0;247.0
"Croatia2022-38";423.0;217.0
"Croatia2022-39";343.0;247.0
"Croatia2022-40";294.0;186.0
"Croatia2022-41";363.0;194.0
"Croatia2022-42";429.0;221.0
"Croatia2022-43";389.0;157.0
"Croatia2022-44";352.0;128.0
"Croatia2022-45";325.0;117.0
"Croatia2022-46";229.0;133.0
"Croatia2022-47";298.0;125.0
"Croatia2022-48";217.0;135.0
"Croatia2022-49";223.0;86.0
"Croatia2022-50";116.0;84.0
"Croatia2022-51";90.0;86.0
"Croatia2022-52";81.0;58.0
"Croatia2023-01";76.0;86.0
"Croatia2023-02";180.0;68.0
"Croatia2023-03";122.0;74.0
"Croatia2023-04";101.0;36.0
"Croatia2023-05";92.0;88.0
"Croatia2023-06";106.0;46.0
"Croatia2023-07";80.0;42.0
"Croatia2023-08";56.0;28.0
"Croatia2023-09";74.0;40.0
"Croatia2023-10";57.0;38.0
"Croatia2023-11";54.0;40.0
"Croatia2023-12";71.0;40.0
"Croatia2023-13";42.0;42.0
"Croatia2023-14";44.0;28.0
"Croatia2023-15";36.0;32.0
"Croatia2023-16";70.0;34.0
"Croatia2023-17";74.0;16.0
"Croatia2023-18";62.0;26.0
"Croatia2023-19";22.0;16.0
"Croatia2023-20";18.0;17.0
"Croatia2023-21";6.0;12.0
"Croatia2023-22";8.0;22.0
"Croatia2023-23";4.0;10.0
"Croatia2023-24";8.0;9.0
"Croatia2023-25";12.0;6.0
"Croatia2023-26";10.0;4.0
"Croatia2023-27";16.0;4.0
"Croatia2023-28";6.0;0.0
"Croatia2023-29";2.0;2.0
"Croatia2023-30";12.0;8.0
"Croatia2023-31";6.0;4.0
"Croatia2023-32";6.0;6.0
"Croatia2023-33";0.0;0.0
"Croatia2023-34";8.0;2.0
"Croatia2023-35";10.0;0.0
"Croatia2023-36";2.0;2.0
"Croatia2023-37";2.0;2.0
"Croatia2023-38";82.0;4.0
"Croatia2023-39";54.0;4.0
"Cyprus2020-52";1100.0;0.0
"Cyprus2020-53";7700.0;0.0
"Cyprus2021-01";7982.0;3.0
"Cyprus2021-02";9824.0;966.0
"Cyprus2021-03";10167.0;6894.0
"Cyprus2021-04";9141.0;7366.0
"Cyprus2021-05";7127.0;9587.0
"Cyprus2021-06";13749.0;9559.0
"Cyprus2021-07";19712.0;9099.0
"Cyprus2021-08";33025.0;7630.0
"Cyprus2021-09";29880.0;12394.0
"Cyprus2021-10";41427.0;8268.0
"Cyprus2021-11";7127.0;8761.0
"Cyprus2021-12";24601.0;7913.0
"Cyprus2021-13";16226.0;11698.0
"Cyprus2021-14";36935.0;10975.0
"Cyprus2021-15";39231.0;11457.0
"Cyprus2021-16";57736.0;5019.0
"Cyprus2021-17";87496.0;18340.0
"Cyprus2021-18";101378.0;30578.0
"Cyprus2021-19";116299.0;49712.0
"Cyprus2021-20";65015.0;105527.0
"Cyprus2021-21";47138.0;98071.0
"Cyprus2021-22";33511.0;73353.0
"Cyprus2021-23";47720.0;60274.0
"Cyprus2021-24";57114.0;61708.0
"Cyprus2021-25";18677.0;56170.0
"Cyprus2021-26";21900.0;76033.0
"Cyprus2021-27";23523.0;86812.0
"Cyprus2021-28";43640.0;36263.0
"Cyprus2021-29";36311.0;24390.0
"Cyprus2021-30";29401.0;25046.0
"Cyprus2021-31";27359.0;38867.0
"Cyprus2021-32";16360.0;33241.0
"Cyprus2021-33";15376.0;26567.0
"Cyprus2021-34";12795.0;25906.0
"Cyprus2021-35";12254.0;16214.0
"Cyprus2021-36";14265.0;15349.0
"Cyprus2021-37";9442.0;12356.0
"Cyprus2021-38";5957.0;13800.0
"Cyprus2021-39";3426.0;13013.0
"Cyprus2021-40";4780.0;10094.0
"Cyprus2021-41";3716.0;6844.0
"Cyprus2021-42";4950.0;3942.0
"Cyprus2021-43";3959.0;4712.0
"Cyprus2021-44";4241.0;4417.0
"Cyprus2021-45";5309.0;4801.0
"Cyprus2021-46";7297.0;4399.0
"Cyprus2021-47";11650.0;5776.0
"Cyprus2021-48";12430.0;5338.0
"Cyprus2021-49";10054.0;6342.0
"Cyprus2021-50";10226.0;10133.0
"Cyprus2021-51";5572.0;7568.0
"Cyprus2021-52";4510.0;10417.0
"Cyprus2022-01";6659.0;9383.0
"Cyprus2022-02";6555.0;6139.0
"Cyprus2022-03";4899.0;4154.0
"Cyprus2022-04";3398.0;6689.0
"Cyprus2022-05";2482.0;5946.0
"Cyprus2022-06";1834.0;5302.0
"Cyprus2022-07";1238.0;3388.0
