YearWeekISO,ReportingCountry,Denominator,NumberDosesReceived,NumberDosesExported,FirstDose,FirstDoseRefused,SecondDose,DoseAdditional1,DoseAdditional2,DoseAdditional3,DoseAdditional4,DoseAdditional5,UnknownDose,Region,TargetGroup,Vaccine,Population
2020-W53,PL,752363,,,0,,0,0,0,0,0,0,0,PL81,Age25_49,AZ,37958138
2020-W53,PL,749377,,,1361,,0,0,0,0,0,0,0,PL61,Age25_49,COM,37958138
2020-W53,PL,749377,,,0,,0,0,0,0,0,0,0,PL61,Age25_49,NVXD,37958138
2020-W53,PL,749377,,,0,,0,0,0,0,0,0,0,PL61,Age25_49,MOD,37958138
2020-W53,PL,749377,,,0,,0,0,0,0,0,0,0,PL61,Age25_49,JANSS,37958138
2020-W53,PL,749377,,,0,,0,0,0,0,0,0,0,PL61,Age25_49,AZ,37958138
2020-W53,PL,74170,,,30,,0,0,0,0,0,0,0,PL52,Age70_79,COM,37958138
2020-W53,PL,74170,,,0,,0,0,0,0,0,0,0,PL52,Age70_79,NVXD,37958138
2020-W53,PL,74170,,,0,,0,0,0,0,0,0,0,PL52,Age70_79,MOD,37958138
2020-W53,PL,74170,,,0,,0,0,0,0,0,0,0,PL52,Age70_79,JANSS,37958138
2020-W53,PL,74170,,,0,,0,0,0,0,0,0,0,PL52,Age70_79,AZ,37958138
2020-W53,PL,73720,,,5,,0,0,0,0,0,0,0,PL51,Age15_17,COM,37958138
2020-W53,PL,73720,,,0,,0,0,0,0,0,0,0,PL51,Age15_17,NVXD,37958138
2020-W53,PL,73720,,,0,,0,0,0,0,0,0,0,PL51,Age15_17,MOD,37958138
2020-W53,PL,73720,,,0,,0,0,0,0,0,0,0,PL51,Age15_17,JANSS,37958138
2020-W53,PL,73720,,,0,,0,0,0,0,0,0,0,PL51,Age15_17,AZ,37958138
2020-W53,PL,71050,,,16,,0,0,0,0,0,0,0,PL43,Age18_24,COM,37958138
